,emote,signifier,enchancedSentiment,positiveScore,neutralScore,negativeScore,Freq
200,🛥, motor_boat ,0.5255,0.702,0.702,0.0,3
201,👄, mouth ,0.0,1.0,1.0,0.0,2
202,🎥, movie_camera ,0.4588,0.692,0.692,0.0,1
203,🎵, musical_note ,0.6486,0.602,0.602,0.0,1
204,🎶, musical_notes ,0.6486,0.602,0.602,0.0,1
205,🔇, muted_speaker ,0.9928000000000001,0.2080000000000001,0.2080000000000001,0.0,20
206,🤓, nerd_face ,0.3506285714285714,0.5055714285714286,0.5055714285714286,0.0822857142857143,5
207,🤓, nerd_face ,0.3506285714285714,0.5055714285714286,0.5055714285714286,0.0822857142857143,2
208,😐, neutral_face ,-0.5155666666666666,0.19866666666666666,0.19866666666666666,0.8013333333333333,3
209,🌚, new_moon_face ,0.4939,0.656,0.656,0.0,1
210,📰, newspaper ,0.0,1.0,1.0,0.0,3
211,👹, ogre ,-0.09506,0.8984,0.8984,0.1016,4
212,👹, ogre ,-0.09506,0.8984,0.8984,0.1016,1
213,👌, ok_hand ,0.5262370370370368,0.48407407407407443,0.48407407407407443,0.011567901234567902,78
214,👌, ok_hand ,0.5262370370370368,0.48407407407407443,0.48407407407407443,0.011567901234567902,3
215,👊, oncoming_fist ,0.7351,0.604,0.604,0.0,1
216,📖, open_book ,0.1531,0.814,0.814,0.0,1
217,👐, open_hands ,0.4216375,0.72,0.72,0.158,7
218,👐, open_hands ,0.4216375,0.72,0.72,0.158,1
219,🎉, party_popper ,0.85297,0.2177,0.2177,0.0194,10
220,🥳, partying_face ,0.6657689655172415,0.2399310344827586,0.2399310344827586,0.008206896551724137,29
221,🐧, penguin ,0.4215,0.263,0.263,0.0,3
222,😔, pensive_face ,0.13805,0.5103125000000001,0.5103125000000001,0.3456875,7
223,😔, pensive_face ,0.13805,0.5103125000000001,0.5103125000000001,0.3456875,9
224,🤦, person_facepalming ,0.024655102040816324,0.4360816326530611,0.4360816326530611,0.2799795918367346,31
225,🤦, person_facepalming ,0.024655102040816324,0.4360816326530611,0.4360816326530611,0.2799795918367346,1
226,🤦, person_facepalming ,0.024655102040816324,0.4360816326530611,0.4360816326530611,0.2799795918367346,17
227,🛌, person_in_bed ,0.7251,0.644,0.644,0.0,1
228,🙋, person_raising_hand ,0.70296,0.583,0.583,0.0,5
229,🚣, person_rowing_boat ,0.6597,0.156,0.156,0.0,3
230,🏃, person_running ,0.7106571428571428,0.4435714285714286,0.4435714285714286,0.012523809523809524,21
231,🤷, person_shrugging ,0.18121224489795926,0.3759999999999999,0.3759999999999999,0.2704081632653062,41
232,🤷, person_shrugging ,0.18121224489795926,0.3759999999999999,0.3759999999999999,0.2704081632653062,8
233,🏄, person_surfing ,0.8107428571428572,0.28985714285714287,0.28985714285714287,0.0,7
234,🐽, pig_nose ,0.1027,0.0,0.0,0.0,1
235,💩, pile_of_poo ,0.22763333333333333,0.5186666666666667,0.5186666666666667,0.4256666666666667,1
