,0,1,2,3
216,408258717595729921,Sal.D#0423,<@!464449226521313292>,2020-11-24T18:44:20.405000+00:00
217,547640493220298752,Mike Hawk#5066,Tsla bout to pay for my rent,2020-11-24T16:35:01.105000+00:00
218,674648888279302204,GOOFYSPY#8332,SPY calls In and out 92%,2020-11-24T16:54:58.212000+00:00
219,701683775481970709,OldKeller#4301,<@764586612134248508>  my guy,2020-11-24T16:55:09.963000+00:00
220,385261276986605568,Sporadic#0001,to the moon!,2020-11-24T18:38:08.950000+00:00
221,408258717595729921,Sal.D#0423,TSLA swing from a couple of hours ago,2020-11-24T18:43:54.647000+00:00
222,547640493220298752,Mike Hawk#5066,Tsla bout to pay for my rent,2020-11-24T16:35:01.105000+00:00
223,674648888279302204,GOOFYSPY#8332,SPY calls In and out 92%,2020-11-24T16:54:58.212000+00:00
224,701683775481970709,OldKeller#4301,<@764586612134248508>  my guy,2020-11-24T16:55:09.963000+00:00
225,385261276986605568,Sporadic#0001,to the moon!,2020-11-24T18:38:08.950000+00:00
226,547640493220298752,Mike Hawk#5066,Tsla bout to pay for my rent,2020-11-24T16:35:01.105000+00:00
227,674648888279302204,GOOFYSPY#8332,SPY calls In and out 92%,2020-11-24T16:54:58.212000+00:00
228,701683775481970709,OldKeller#4301,<@764586612134248508>  my guy,2020-11-24T16:55:09.963000+00:00
229,547640493220298752,Mike Hawk#5066,Tsla bout to pay for my rent,2020-11-24T16:35:01.105000+00:00
230,674648888279302204,GOOFYSPY#8332,SPY calls In and out 92%,2020-11-24T16:54:58.212000+00:00
231,408072494356889612,Miura27#9419,3 voice chat call outs 3 green trades,2020-11-24T15:15:18.556000+00:00
232,547640493220298752,Mike Hawk#5066,Tsla bout to pay for my rent,2020-11-24T16:35:01.105000+00:00
233,250119465403023360,Sixman#0001,$$$$$$$$$$$$$$$$$,2020-11-24T15:06:29.982000+00:00
234,408072494356889612,Miura27#9419,3 voice chat call outs 3 green trades,2020-11-24T15:15:18.556000+00:00
235,250119465403023360,Sixman#0001,$$$$$$$$$$$$$$$$$,2020-11-24T15:06:29.982000+00:00
236,408072494356889612,Miura27#9419,3 voice chat call outs 3 green trades,2020-11-24T15:15:18.556000+00:00
237,250119465403023360,Sixman#0001,$$$$$$$$$$$$$$$$$,2020-11-24T15:06:29.982000+00:00
